Question Sentence,Missing word
...heißt du? (What's your name?),Wie
...kommst du? (Where do you come from?),Woher
...machst du? (What are you doing?),Was
...wohnst du? (Where do you live?),Wo
...ist das? (Who is that?),Wer
...alt bist du? (How old are you?),Wie
...kommt Peter? (When is Peter coming?),Wann
...gehst du? (Where are you going?),Wohin
...machst du das? (Why are you doing that?),Warum
...lange bleibst du? (How long are you staying?),Wie
...geht es dir? (How are you?),Wie
...viele Sprachen sprichst du? (How many languages do you speak?),Wie
...kostet das? (How much does it cost?),Wie viel
...Buch liest du? (Which book are you reading?),Welches
...spielst du? (What are you playing?),Was
...ist dein Lieblingsfilm? (Which is your favorite movie?),Welcher
...arbeitest du? (Where do you work?),Wo
...ist dein Geburtstag? (When is your birthday?),Wann
...heißt dein Lehrer? (What is your teacher's name?),Wie
...kommst du zur Schule? (How do you get to school?),Wie
...ist das Wetter? (How is the weather?),Wie
...fährst du in den Urlaub? (When are you going on vacation?),Wann
...lange dauert der Film? (How long does the movie last?),Wie
...viele Geschwister hast du? (How many siblings do you have?),Wie
...hast du das gemacht? (Why did you do that?),Warum
...siehst du? (What are you looking at?),Was
...trinkst du? (What are you drinking?),Was
...geht es dir heute? (How are you today?),Wie
...magst du? (What do you like?),Was
...beginnt der Unterricht? (When does the class start?),Wann
