Declarative,Question
Ich möchte ein Bier.(y/N),Möchtest du ein Bier?
Er spricht Deutsch.(y/N),Spricht er Deutsch?
Ich habe einen Hund.(y/N),Hast du einen Hund?
Sie spielt Fußball.(y/N),Spielt sie Fußball?
Wir gehen ins Kino.(y/N),Gehen wir ins Kino?
Du lernst Deutsch.(y/N),Lernst du Deutsch?
Ihr esst Frühstück.(y/N),Esst ihr Frühstück?
Sie arbeitet im Büro.(y/N),Arbeitet sie im Büro?
Ich fahre nach Berlin.(y/N),Fahre ich nach Berlin?
Er trinkt Kaffee.(y/N),Trinkt er Kaffee?
Sie kauft Gemüse.(y/N),Kauft sie Gemüse?
Wir wohnen in München.(y/N),Wohnen wir in München?
Du schreibst einen Brief.(y/N),Schreibst du einen Brief?
Ihr macht Hausaufgaben.(y/N),Macht ihr Hausaufgaben?
Sie besucht ihre Eltern.(y/N),Besucht sie ihre Eltern?
Ich sehe fern.(y/N),Sehe ich fern?
Er hört Musik.(y/N),Hört er Musik?
Sie tanzt gerne.(y/N),Tanzt sie gerne?
Wir spielen Schach.(y/N),Spielen wir Schach?
Du kochst Abendessen.(y/N),Kochst du Abendessen?
Ihr malt ein Bild.(y/N),Malt ihr ein Bild?
Sie gehen schwimmen.(y/N),Gehen sie schwimmen?
Ich putze das Haus.(y/N),Putze ich das Haus?
Er läuft jeden Morgen.(y/N),Läuft er jeden Morgen?
Sie spricht Englisch.(y/N),Spricht sie Englisch?
Wir feiern Geburtstag.(y/N),Feiern wir Geburtstag?
Du bringst das Buch.(y/N),Bringst du das Buch?
Ihr sucht den Schlüssel.(y/N),Sucht ihr den Schlüssel?
Sie brauchen Hilfe.(y/N),Brauchen sie Hilfe?
Ich backe einen Kuchen.(y/N),Backe ich einen Kuchen?
Er plant eine Reise.(y/N),Plant er eine Reise?
Sie liest die Zeitung.(y/N),Liest sie die Zeitung?
Wir singen ein Lied.(y/N),Singen wir ein Lied?
Du zeichnest ein Bild.(y/N),Zeichnest du ein Bild?
Ihr kauft ein Auto.(y/N),Kauft ihr ein Auto?
Mario kommt aus Italien.,Woher kommt er?
Rita und Max leben in Frankreich.,Wo leben sie?
Anna liest ein Buch.,Was liest Anna?
Wir gehen ins Kino.,Wohin gehen wir?
Der Hund schläft im Garten.,Wo schläft der Hund?
Maria spricht drei Sprachen.,Wie viele Sprachen spricht Maria?
Er isst eine Pizza.,Was isst er?
Du trinkst Wasser.,Was trinkst du?
Ihr fahrt nach Berlin.,Wohin fahrt ihr?
Das Kind spielt im Park.,Wo spielt das Kind?
Sie arbeiten im Büro.,Wo arbeiten sie?
Peter kocht das Abendessen.,Was kocht Peter?
Ich lerne Deutsch.,Welche Sprache lernst du?
Die Katze sitzt auf dem Tisch.,Wo sitzt die Katze?
Er wohnt in Hamburg.,Wo wohnt er?
Wir besuchen unsere Großeltern.,Wen besuchen wir?
Das Auto steht vor dem Haus.,Wo steht das Auto?
Er spielt Gitarre.,Was spielt er?
Sie tanzt gerne.,Was macht sie gerne?
Du schreibst einen Brief.,Was schreibst du?
Wir hören Musik.,Was hören wir?
Der Vogel singt laut.,Was macht der Vogel?
Sie kaufen Obst.,Was kaufen sie?
Er trägt eine rote Jacke.,Was trägt er?
Ich sehe einen Film.,Was siehst du?
Sie schwimmen im See.,Wo schwimmen sie?
Er arbeitet als Lehrer.,Was arbeitet er?
Du malst ein Bild.,Was malst du?
Wir reisen nach Spanien.,Wohin reisen wir?
Sie singen im Chor.,Wo singen sie?
Er spielt Fußball.,Was spielt er?
Du liest die Zeitung.,Was liest du?
Wir essen im Restaurant.,Wo essen wir?
Sie fahren mit dem Zug.,Womit fahren sie?
Er liebt Schokolade.,Was liebt er?
