German,English
Hallo,Hello
Tschüss,Bye
Ja,Yes
Nein,No
Bitte,Please
Danke,Thank you
Entschuldigung,Sorry/Excuse me
Guten Morgen,Good morning
Guten Abend,Good evening
Gute Nacht,Good night
Wie geht's?,How are you?
Gut,Good
Schlecht,Bad
So lala,So-so
Heute,Today
Gestern,Yesterday
Morgen,Tomorrow
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstag,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
der Freund,Friend (male)
die Freundin,Friend (female)
die Familie,Family
die Mutter,Mother
der Vater,Father
die Schwester,Sister
der Bruder,Brother
das Kind,Child
das Haus,House
die Wohnung,Apartment
das Zimmer,Room
die Küche,Kitchen
das Badezimmer,Bathroom
das Wohnzimmer,Living room
das Schlafzimmer,Bedroom
die Tür,Door
das Fenster,Window
der Tisch,Table
der Stuhl,Chair
das Bett,Bed
das Sofa,Sofa
der Fernseher,TV
das Buch,Book
die Zeitung,Newspaper
das Wasser,Water
das Brot,Bread
die Butter,Butter
der Käse,Cheese
das Fleisch,Meat
das Obst,Fruit
das Gemüse,Vegetables
der Apfel,Apple
die Banane,Banana
die Orange,Orange
die Traube,Grape
die Kartoffel,Potato
die Tomate,Tomato
der Hund,Dog
die Katze,Cat
der Vogel,Bird
der Fisch,Fish
das Auto,Car
das Fahrrad,Bicycle
der Bus,Bus
der Zug,Train
das Flugzeug,Airplane
das Schiff,Ship
die Straße,Street
die Schule,School
die Universität,University
die Arbeit,Work
das Büro,Office
das Geschäft,Store
der Markt,Market
die Bank,Bank
das Krankenhaus,Hospital
die Apotheke,Pharmacy
die Polizei,Police
die Kirche,Church
der Park,Park
das Kino,Cinema
das Restaurant,Restaurant
das Café,Café
das Hotel,Hotel
die Lampe,Lamp
das Bild,Picture
die Uhr,Clock
das Geschenk,Present/Gift
das Spielzeug,Toy
der Lehrer,Teacher (male)
die Lehrerin,Teacher (female)
der Schüler,Student (male)
die Schülerin,Student (female)
der Freund,Boyfriend
die Freundin,Girlfriend
der Mann,Man
die Frau,Woman
der Junge,Boy
das Mädchen,Girl
das Baby,Baby
der Himmel,Sky
die Sonne,Sun
der Mond,Moon
der Stern,Star
die Wolke,Cloud
der Regen,Rain
der Schnee,Snow
der Wind,Wind
der Baum,Tree
die Blume,Flower
das Gras,Grass
der Fluss,River
das Meer,Sea
der Berg,Mountain
der Wald,Forest
die Wiese,Meadow
die Stadt,City
das Dorf,Village
das Land,Country
die Freundschaft,Friendship
die Liebe,Love
das Glück,Happiness
die Angst,Fear
die Freude,Joy
die Traurigkeit,Sadness
die Musik,Music
das Lied,Song
die Kunst,Art
der Film,Movie
das Spiel,Game
der Sport,Sport
der Fußball,Soccer
das Tennis,Tennis
das Schwimmen,Swimming
das Laufen,Running
das Tanzen,Dancing
das Reisen,Traveling
das Essen,Food
das Trinken,Drink
das Frühstück,Breakfast
das Mittagessen,Lunch
das Abendessen,Dinner
der Kuchen,Cake
das Eis,Ice cream
das Salz,Salt
der Pfeffer,Pepper
